ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
"13","Education","1312","Teacher Education at Specific Levels & Methods","131206","Teacher Education",2012,"2012",5,"Bachelors Degree",3,"teacher-education","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5202","Business Administration, Management, & Operations","520208","E-Commerce",2012,"2012",5,"Bachelors Degree",7,"e-commerce","Chicago, IL","16000US1714000","chicago-il"
"39","Theology","3902","Biblical Studies","390201","Biblical Studies",2012,"2012",5,"Bachelors Degree",185,"biblical-studies-390201","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5009","Music","500911","Stringed Instruments",2012,"2012",5,"Bachelors Degree",8,"stringed-instruments","Chicago, IL","16000US1714000","chicago-il"
"39","Theology","3903","Missionary Studies & Missiology","390301","Missionary Studies & Missiology",2012,"2012",5,"Bachelors Degree",60,"missionary-studies-missiology-390301","Chicago, IL","16000US1714000","chicago-il"
"13","Education","1312","Teacher Education at Specific Levels & Methods","131205","Secondary Education & Teaching",2012,"2012",5,"Bachelors Degree",107,"secondary-education-teaching","Chicago, IL","16000US1714000","chicago-il"
"39","Theology","3904","Religious Education","390401","Religious Education",2012,"2012",5,"Bachelors Degree",93,"religious-education-390401","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5202","Business Administration, Management, & Operations","520212","Retail Management",2012,"2012",5,"Bachelors Degree",86,"retail-management","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5009","Music","500910","Jazz & Jazz Studies",2012,"2012",5,"Bachelors Degree",6,"jazz-jazz-studies","Chicago, IL","16000US1714000","chicago-il"
"51","Health","5109","Allied Diagnostic, Intervention, & Treatment Professions","510913","Athletic Trainer",2012,"2012",5,"Bachelors Degree",8,"athletic-trainer","Chicago, IL","16000US1714000","chicago-il"
"39","Theology","3905","Religious & Sacred Music","390501","Religious & Sacred Music",2012,"2012",5,"Bachelors Degree",19,"religious-sacred-music-390501","Chicago, IL","16000US1714000","chicago-il"
"13","Education","1310","Special Education","131001","General Special Education & Teaching",2012,"2012",5,"Bachelors Degree",46,"general-special-education-teaching","Chicago, IL","16000US1714000","chicago-il"
"39","Theology","3906","Theological & Ministerial Studies","390601","Theological Studies",2012,"2012",5,"Bachelors Degree",42,"theological-studies","Chicago, IL","16000US1714000","chicago-il"
"52","Business","5202","Business Administration, Management, & Operations","520213","Organizational Leadership",2012,"2012",5,"Bachelors Degree",27,"organizational-leadership","Chicago, IL","16000US1714000","chicago-il"
"50","Visual & Performing Arts","5009","Music","500908","Voice & Opera",2012,"2012",5,"Bachelors Degree",7,"voice-opera","Chicago, IL","16000US1714000","chicago-il"
"13","Education","1302","Multilingual & Multicultural Education","130201","Bilingual & Multilingual Education",2012,"2012",5,"Bachelors Degree",25,"bilingual-multilingual-education","Chicago, IL","16000US1714000","chicago-il"
"39","Theology","3906","Theological & Ministerial Studies","390604","Pre-Theology & Pre-Ministerial Studies",2012,"2012",5,"Bachelors Degree",0,"pre-theology-pre-ministerial-studies","Chicago, IL","16000US1714000","chicago-il"
"12","Personal & Culinary Services","1205","Culinary Arts & Related Services","120504","Restaurant, Culinary, & Catering Management",2012,"2012",5,"Bachelors Degree",24,"restaurant-culinary-catering-management","Chicago, IL","16000US1714000","chicago-il"
